id,symbol,name,market_cap_rank,market_cap,vol_24h,ret_7d,ret_30d,ret_90d,rs_90d_vs_btc,momentum_score,growth_score,data_quality_non_null,timing_note,bucket
bitcoin-cash,bch,Bitcoin Cash,14,11868800154,170370576.0,0.0015378206663316,0.0077034245560347,0.0636629461824032,0.2851010933861729,0.3475961529373895,0.2305231965357027,4,PASS,TOP_GROWTH
whitebit,wbt,WhiteBIT Coin,15,11628767430,17238257.0,-0.0526310112992461,-0.0334415473473119,0.2535626804480375,0.4750008276518073,0.644660862319071,0.441398003360557,4,PASS,TOP_GROWTH
monero,xmr,Monero,20,9368668243,98650436.0,-0.137735276935548,0.1424903364349916,0.4400484413886056,0.6614865885923754,1.196765437230343,0.9919146784494512,4,PASS,TOP_GROWTH
zcash,zec,Zcash,28,5972571050,271114134.0,-0.0979711300587854,-0.179326302132308,0.0294189815502512,0.250857128754021,0.0707317631354719,-0.1084865513859159,4,PASS,TOP_GROWTH
canton-network,cc,Canton,29,5868561993,10414454.0,0.2933043566807318,0.5756366624793765,0.0705060912184434,0.2919442384222132,1.0144681766642711,1.1126301433586878,4,PASS,TOP_GROWTH
world-liberty-financial,wlfi,World Liberty Financial,34,4844981115,78557553.0,0.0635864039918774,0.2990799466863765,0.2033171864050105,0.4247553336087802,0.9408196744774586,0.8823358338170391,4,PASS,TOP_GROWTH
rain,rain,Rain,45,3415092985,46065348.0,0.0598435122642373,0.4373891767379376,2.1480518208950183,2.369489968098788,4.692343852725113,3.968513875559604,4,PASS,TOP_GROWTH
tether-gold,xaut,Tether Gold,50,2631611036,274489950.0,0.0938384163528223,0.1164028946486439,0.2370912912239131,0.4585294384276829,0.7982788068729885,0.6556524982519926,4,PASS,TOP_GROWTH
pax-gold,paxg,PAX Gold,57,2049992834,274655014.0,0.1012393522269725,0.1216154724121361,0.2456472063632611,0.4670853535670308,0.8201486680288641,0.6761542745654017,4,PASS,TOP_GROWTH
internet-computer,icp,Internet Computer,59,1911776700,45924425.0,-0.1384828097312948,0.1450054041150061,0.049200235889903,0.2706383830936728,0.4757756687267539,0.413360377153313,4,PASS,TOP_GROWTH
